fips,stusps,year,RTC,violent_rate
2,AK,1977,1994,443.24319623961605
2,AK,1978,1994,441.9355743616842
2,AK,1979,1994,491.13295638946573
2,AK,1980,1994,435.9957201868179
2,AK,1981,1994,615.776740917996
2,AK,1982,1994,623.7442763842987
2,AK,1983,1994,613.7786401365543
2,AK,1984,1994,621.5999713294775
2,AK,1985,1994,581.7657564293517
2,AK,1986,1994,570.411925473152
2,AK,1987,1994,455.42848837721743
2,AK,1988,1994,522.8070641978732
2,AK,1989,1994,497.7228670849674
2,AK,1990,1994,524.5045133742267
2,AK,1991,1994,613.859715762949
2,AK,1992,1994,660.4770390543165
2,AK,1993,1994,760.7679360709701
2,AK,1994,1994,766.3366696230129
2,AK,1995,1994,770.8610558198957
2,AK,1996,1994,727.6772254745828
2,AK,1997,1994,701.1494246273684
2,AK,1998,1994,653.9087747291846
2,AK,1999,1994,630.8314117354145
2,AK,2000,1994,566.8877563490953
2,AK,2001,1994,589.4607217114323
2,AK,2002,1994,565.409452441614
2,AK,2003,1994,598.0440180652406
2,AK,2004,1994,632.3022498088376
2,AK,2005,1994,632.3378284243105
2,AK,2006,1994,688.0051410933336
2,AK,2007,1994,661.3235098368315
2,AK,2008,1994,652.0539700131742
2,AK,2009,1994,633.38165421708
2,AK,2010,1994,635.3042046918858
2,AK,2011,1994,610.0627501553881
2,AK,2012,1994,604.1294925464181
2,AK,2013,1994,638.7171355467061
2,AK,2014,1994,635.50993198091
4,AZ,1977,1994,494.207389539811
4,AZ,1978,1994,552.0816254807311
4,AZ,1979,1994,592.9795835584081
4,AZ,1980,1994,650.8536674869247
4,AZ,1981,1994,575.7965436440182
4,AZ,1982,1994,516.9581885286274
4,AZ,1983,1994,494.1612030344925
4,AZ,1984,1994,516.0826060374047
4,AZ,1985,1994,602.5101129636366
4,AZ,1986,1994,658.2755065125601
4,AZ,1987,1994,612.581315759556
4,AZ,1988,1994,610.1270425729008
4,AZ,1989,1994,599.5501812023033
4,AZ,1990,1994,652.3742999394368
4,AZ,1991,1994,670.7200272133645
4,AZ,1992,1994,670.824617891117
4,AZ,1993,1994,714.9899495508313
4,AZ,1994,1994,703.1412018888851
4,AZ,1995,1994,713.4897124203139
4,AZ,1996,1994,631.5040667283126
4,AZ,1997,1994,623.7320821011241
4,AZ,1998,1994,577.9396282122191
4,AZ,1999,1994,551.1129154277907
4,AZ,2000,1994,531.7277604804943
4,AZ,2001,1994,540.3276797138617
4,AZ,2002,1994,554.4993548507847
4,AZ,2003,1994,513.2973038545449
4,AZ,2004,1994,504.4009591914269
4,AZ,2005,1994,511.97657181267897
4,AZ,2006,1994,542.5604227481158
4,AZ,2007,1994,518.0039324651884
4,AZ,2008,1994,485.63264385630345
4,AZ,2009,1994,426.4545313957846
4,AZ,2010,1994,413.64957113516925
4,AZ,2011,1994,414.2213803710104
4,AZ,2012,1994,428.5813612751326
4,AZ,2013,1994,415.6144287632143
4,AZ,2014,1994,392.6712979340772
5,AR,1977,1995,322.94777273980907
5,AR,1978,1995,344.0988708613201
5,AR,1979,1995,366.2385974302181
5,AR,1980,1995,335.1959832651755
5,AR,1981,1995,310.3312827351545
5,AR,1982,1995,324.6617870164245
5,AR,1983,1995,297.6804522184044
5,AR,1984,1995,321.3707385933621
5,AR,1985,1995,347.56250489895814
5,AR,1986,1995,394.81447303105364
5,AR,1987,1995,412.0184360987565
5,AR,1988,1995,422.6671893698753
5,AR,1989,1995,473.690846278641
5,AR,1990,1995,532.2188551893312
5,AR,1991,1995,593.2547677136536
5,AR,1992,1995,576.5317383423982
5,AR,1993,1995,593.2757016408851
5,AR,1994,1995,595.1080131264879
5,AR,1995,1995,553.1804827578369
5,AR,1996,1995,524.3427215356752
5,AR,1997,1995,526.8728195916148
5,AR,1998,1995,490.22841013612555
5,AR,1999,1995,425.18285414459007
5,AR,2000,1995,445.275579745864
5,AR,2001,1995,452.3698266204336
5,AR,2002,1995,424.97630922785726
5,AR,2003,1995,456.37936034179836
5,AR,2004,1995,502.3271660902553
5,AR,2005,1995,528.5139087197161
5,AR,2006,1995,552.7823228332597
5,AR,2007,1995,537.1107642161437
